Newport Quantitative Trading and Investment (https://newportquant.com),,,,,,
Last update,2022/03/22,,,,,
DateBeforeChange,DateAfterChange,Change,Ticker,Name,Sector,Exchange
20210318,20210319,-1,XRX,XEROX HOLDINGS CORP,Information Technology,New York Stock Exchange Inc.
20210210,20210211,1,MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,NASDAQ
20210210,20210211,-1,FTI,TECHNIPFMC PLC,Energy,New York Stock Exchange Inc.
20210119,20210120,1,TRMB,TRIMBLE INC,Information Technology,NASDAQ
20210115,20210119,-1,CXO,CONCHO RESOURCES INC,Energy,New York Stock Exchange Inc.
20210106,20210107,-1,TIF,TIFFANY,Consumer Discretionary,New York Stock Exchange Inc.
20210105,20210106,1,ENPH,ENPHASE ENERGY INC,Information Technology,NASDAQ
20201217,20201218,1,TSLA,TESLA INC,Consumer Discretionary,NASDAQ
20201217,20201218,-1,AIRC,APARTMENT INCOME REIT CORP,Real Estate,New York Stock Exchange Inc.
20201217,20201218,-1,AIV,APARTMENT INVESTMENT AND MANAGEMEN,Real Estate,New York Stock Exchange Inc.
20201214,20201215,1,AIRC,APARTMENT INCOME REIT CORP,Real Estate,New York Stock Exchange Inc.
20201117,20201118,1,VTRS,VIATRIS INC WHEN ISSUED,Health Care,NASDAQ
20201116,20201117,-1,MYL,MYLAN NV,Health Care,NASDAQ
20201008,20201009,1,VNT,VONTIER CORP,Information Technology,New York Stock Exchange Inc.
20201005,20201006,1,POOL,POOL CORP,Consumer Discretionary,NASDAQ
20201005,20201006,-1,NBL,NOBLE ENERGY INC,Energy,NASDAQ
20201002,20201005,-1,ETFC,E TRADE FINANCIAL CORP,Financials,NASDAQ
20200917,20200918,1,CTLT,CATALENT INC,Health Care,New York Stock Exchange Inc.
20200917,20200918,1,ETSY,ETSY INC,Consumer Discretionary,NASDAQ
20200917,20200918,1,LUMN,CENTURYLINK INC,Communication,New York Stock Exchange Inc.
20200917,20200918,1,TER,TERADYNE INC,Information Technology,NASDAQ
20200917,20200918,-1,COTY,COTY INC CLASS A,Consumer Staples,New York Stock Exchange Inc.
20200917,20200918,-1,CTL,CENTURYLINK INC,Communication,New York Stock Exchange Inc.
20200917,20200918,-1,HRB,H&R BLOCK INC,Consumer Discretionary,New York Stock Exchange Inc.
20200917,20200918,-1,KSS,KOHLS CORP,Consumer Discretionary,New York Stock Exchange Inc.
20200618,20200619,1,BIO,BIO RAD LABORATORIES INC CLASS A,Health Care,New York Stock Exchange Inc.
20200618,20200619,1,TDY,TELEDYNE TECHNOLOGIES INC,Industrials,New York Stock Exchange Inc.
20200618,20200619,1,TYL,TYLER TECHNOLOGIES INC,Information Technology,New York Stock Exchange Inc.
20200618,20200619,-1,ADS,ALLIANCE DATA SYSTEMS CORP,Information Technology,New York Stock Exchange Inc.
20200618,20200619,-1,HOG,HARLEY DAVIDSON INC,Consumer Discretionary,New York Stock Exchange Inc.
20200618,20200619,-1,JWN,NORDSTROM INC,Consumer Discretionary,New York Stock Exchange Inc.
20200521,20200522,-1,HP,HELMERICH & PAYNE INC,Energy,New York Stock Exchange Inc.
20200520,20200521,1,WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,New York Stock Exchange Inc.
20200508,20200511,1,DPZ,DOMINOS PIZZA INC,Consumer Discretionary,New York Stock Exchange Inc.
20200508,20200511,1,DXCM,DEXCOM INC,Health Care,NASDAQ
20200508,20200511,-1,AGN,ALLERGAN,Health Care,New York Stock Exchange Inc.
20200508,20200511,-1,CPRI,CAPRI HOLDINGS LTD,Consumer Discretionary,New York Stock Exchange Inc.
20200403,20200406,1,RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,New York Stock Exchange Inc.
20200402,20200403,1,CARR,CARRIER GLOBAL CORP,Financials,New York Stock Exchange Inc.
20200402,20200403,1,OTIS,OTIS WORLDWIDE CORP,Industrials,New York Stock Exchange Inc.
20200402,20200403,-1,ARNC,ARCONIC CORP,Materials,New York Stock Exchange Inc.
20200402,20200403,-1,M,MACYS INC,Consumer Discretionary,New York Stock Exchange Inc.
20200402,20200403,-1,RTN,RAYTHEON,Industrials,New York Stock Exchange Inc.
20200402,20200403,-1,UTX,UNITED TECHNOLOGIES CORP,Industrials,New York Stock Exchange Inc.
20200401,20200402,1,AON,Aon plc,Financials,New York Stock Exchange Inc.
20200401,20200402,1,ARNC,ARCONIC CORP,Materials,New York Stock Exchange Inc.
20200401,20200402,1,HWM,HOWMET AEROSPACE INC,Industrials,New York Stock Exchange Inc.
20200331,20200401,-1,AON,AON PLC CLASS A,Financials,New York Stock Exchange Inc.
20200331,20200401,-1,ARNC,ARCONIC INC,Industrials,New York Stock Exchange Inc.
20200228,20200302,1,IR,INGERSOLL RAND INC,Other,New York Stock Exchange Inc.
20200228,20200302,-1,XEC,CIMAREX ENERGY,Energy,New York Stock Exchange Inc.
20200227,20200228,1,TT,TRANE TECHNOLOGIES PLC,Industrials,New York Stock Exchange Inc.
20200227,20200228,-1,IR,INGERSOLL RAND PLC,Industrials,New York Stock Exchange Inc.
20200124,20200127,1,PAYC,PAYCOM SOFTWARE INC,Information Technology,New York Stock Exchange Inc.
20200123,20200124,-1,WCG,WELLCARE HEALTHCARE PLANS INC,Health Care,New York Stock Exchange Inc.
20191219,20191220,1,LYV,LIVE NATION ENTERTAINMENT INC,Communication,New York Stock Exchange Inc.
20191219,20191220,1,STE,STERIS,Health Care,New York Stock Exchange Inc.
20191219,20191220,1,ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Information Technology,NASDAQ
20191219,20191220,-1,AMG,AFFILIATED MANAGERS GROUP INC,Financials,New York Stock Exchange Inc.
20191219,20191220,-1,MAC,MACERICH REIT,Real Estate,New York Stock Exchange Inc.
20191219,20191220,-1,TRIP,TRIPADVISOR INC,Communication,NASDAQ
20191209,20191210,1,J,JACOBS ENGINEERING GROUP INC,Industrials,New York Stock Exchange Inc.
20191209,20191210,-1,JEC,JACOBS ENGINEERING GROUP INC,Industrials,New York Stock Exchange Inc.
20191206,20191209,1,TFC,TRUIST FINANCIAL CORP,Financials,New York Stock Exchange Inc.
20191206,20191209,-1,BBT,TRUIST FINANCIAL CORP,Financials,New York Stock Exchange Inc.
20191206,20191209,-1,STI,SUNTRUST BANKS INC,Financials,New York Stock Exchange Inc.
20191205,20191206,1,ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,NASDAQ
20191205,20191206,-1,DISHR,DISH NETWORK CORP CLASS A,Communication,NASDAQ
20191204,20191205,1,VIAC,VIACOMCBS INC CLASS B,Communication,NASDAQ
20191204,20191205,-1,CBS,CBS CORP CLASS B,Communication,New York Stock Exchange Inc.
20191204,20191205,-1,VIAB,VIACOM INC CLASS B,Communication,NASDAQ
20191203,20191204,1,WRB,WR BERKLEY CORP,Financials,New York Stock Exchange Inc.
20191125,20191126,1,DISHR,DISH NETWORK CORP CLASS A,Communication,NASDAQ
20191119,20191120,1,NOW,SERVICENOW INC,Information Technology,New York Stock Exchange Inc.
20191119,20191120,-1,CELG,CELGENE CORP,Health Care,NASDAQ
20191104,20191105,1,NLOK,NORTONLIFELOCK INC,Information Technology,NASDAQ
20191104,20191105,1,PEAK,HEALTHPEAK PROPERTIES INC,Real Estate,New York Stock Exchange Inc.
20191104,20191105,-1,HCP,HCP REIT INC,Real Estate,New York Stock Exchange Inc.
20191104,20191105,-1,SYMC,SYMANTEC CORP,Information Technology,NASDAQ
20191017,20191018,1,BKR,BAKER HUGHES COMPANY,Energy,New York Stock Exchange Inc.
20191017,20191018,-1,BHGE,BAKER HUGHES CLASS A,Energy,New York Stock Exchange Inc.
20190930,20191007,1,LVS,LAS VEGAS SANDS CORP,Consumer Discretionary,New York Stock Exchange Inc.
20190930,20191007,-1,NKTR,NEKTAR THERAPEUTICS,Health Care,NASDAQ
20190924,20190925,1,NVR,NVR INC,Consumer Discretionary,New York Stock Exchange Inc.
20190924,20190925,-1,JEF,JEFFERIES FINANCIAL GROUP INC,Financials,New York Stock Exchange Inc.
20190919,20190920,1,CDW,CDW CORP,Information Technology,NASDAQ
20190917,20190918,-1,TSS,TOTAL SYSTEM SERVICES INC,Information Technology,New York Stock Exchange Inc.
20190809,20190812,-1,TMK,TORCHMARK CORP,Financials,New York Stock Exchange Inc.
20190808,20190809,1,GL,GLOBE LIFE INC,Financials,New York Stock Exchange Inc.
20190808,20190809,-1,APC,ANADARKO PETROLEUM CORP,Energy,New York Stock Exchange Inc.
20190807,20190808,1,IEX,IDEX CORP,Industrials,New York Stock Exchange Inc.
20190807,20190808,1,LDOS,LEIDOS HOLDINGS INC,Information Technology,New York Stock Exchange Inc.
20190807,20190808,-1,FL,FOOT LOCKER INC,Consumer Discretionary,New York Stock Exchange Inc.
20190711,20190712,1,TMUS,T MOBILE US INC,Communication,NASDAQ
20190708,20190709,-1,RHT,RED HAT INC,Information Technology,New York Stock Exchange Inc.
20190628,20190701,1,LHX,L3HARRIS TECHNOLOGIES INC,Industrials,New York Stock Exchange Inc.
20190628,20190701,-1,HRS,L3HARRIS TECHNOLOGIES CORP,Industrials,New York Stock Exchange Inc.
20190627,20190628,1,MKTX,MARKETAXESS HOLDINGS INC,Financials,NASDAQ
20190627,20190628,-1,LLL,L3 TECHNOLOGIES INC,Industrials,New York Stock Exchange Inc.
20190610,20190611,1,AMCR,AMCOR PLC,Materials,New York Stock Exchange Inc.
20190610,20190611,-1,BMS,BEMIS INC,Materials,New York Stock Exchange Inc.
20190605,20190606,1,BMS,BEMIS INC,Materials,New York Stock Exchange Inc.
20190605,20190606,-1,MAT,MATTEL INC,Consumer Discretionary,NASDAQ
20190531,20190603,1,CTVA,CORTEVA INC,Materials,New York Stock Exchange Inc.
20190531,20190603,1,DD,DUPONT DE NEMOURS INC WHEN ISSUED,Materials,New York Stock Exchange Inc.
20190531,20190603,-1,DWDP,DOWDUPONT INC,Materials,New York Stock Exchange Inc.
20190531,20190603,-1,FLR,FLUOR CORP,Industrials,New York Stock Exchange Inc.
20190401,20190402,1,DOW,DOW INC,Materials,New York Stock Exchange Inc.
20190401,20190402,-1,BHF,BRIGHTHOUSE FINANCIAL INC,Financials,NASDAQ
20190319,20190320,-1,TFCF,TWENTY-FIRST CENTURY FOX INC CLASS,Communication,NASDAQ
20190319,20190320,-1,TFCFA,TWENTY FIRST CENTURY FOX INC CLASS,Communication,NASDAQ
20190318,20190319,1,TFCF,TWENTY-FIRST CENTURY FOX INC CLASS,Communication,NASDAQ
20190318,20190319,1,TFCFA,TWENTY FIRST CENTURY FOX INC CLASS,Communication,NASDAQ
20190225,20190226,1,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Industrials,New York Stock Exchange Inc.
20190225,20190226,-1,GT,GOODYEAR TIRE & RUBBER,Consumer Discretionary,NASDAQ
20190213,20190214,1,ATO,ATMOS ENERGY CORP,Utilities,New York Stock Exchange Inc.
20190213,20190214,-1,NFX,NEWFIELD EXPLORATION,Energy,New York Stock Exchange Inc.
20190116,20190117,1,TFX,TELEFLEX INC,Health Care,New York Stock Exchange Inc.
20190116,20190117,-1,PCG,PG&E CORP,Utilities,New York Stock Exchange Inc.
20181231,20190102,1,CPRI,CAPRI HOLDINGS LTD,Consumer Discretionary,New York Stock Exchange Inc.
20181231,20190102,-1,KORS,MICHAEL KORS HOLDINGS LTD,Consumer Discretionary,New York Stock Exchange Inc.
20181231,20190102,-1,SCG,SCANA CORP,Utilities,New York Stock Exchange Inc.
20181228,20181231,1,FRC,FIRST REPUBLIC BANK,Financials,New York Stock Exchange Inc.
20181220,20181221,1,CE,CELANESE CORP,Materials,New York Stock Exchange Inc.
20181220,20181221,-1,ESRX,EXPRESS SCRIPTS HOLDING,Health Care,NASDAQ
20181129,20181130,1,FANG,DIAMONDBACK ENERGY INC,Energy,NASDAQ
20181129,20181130,1,LW,LAMB WESTON HOLDINGS INC,Consumer Staples,New York Stock Exchange Inc.
20181129,20181130,1,MXIM,MAXIM INTEGRATED PRODUCTS INC,Information Technology,NASDAQ
20181129,20181130,-1,SRCL,STERICYCLE INC,Industrials,NASDAQ
20181128,20181129,-1,AET,AETNA INC,Health Care,New York Stock Exchange Inc.
20181126,20181127,-1,COL,ROCKWELL COLLINS INC,Industrials,New York Stock Exchange Inc.
20181109,20181112,1,JKHY,JACK HENRY ANS ASSOCIATES INC,Information Technology,NASDAQ
20181109,20181112,-1,EQT,EQT CORP,Energy,New York Stock Exchange Inc.
20181105,20181106,-1,CA,CA INC,Information Technology,NASDAQ
20181102,20181105,1,KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,New York Stock Exchange Inc.
20181030,20181031,1,LIN,LINDE PLC,Materials,New York Stock Exchange Inc.
20181030,20181031,-1,PX,PRAXAIR INC,Materials,New York Stock Exchange Inc.
20181010,20181011,-1,EVHC,ENVISION HEALTHCARE CORP,Health Care,New York Stock Exchange Inc.
20181009,20181010,1,FTNT,FORTINET INC,Information Technology,NASDAQ
20181002,20181003,-1,ANDV,ANDEAVOR,Energy,New York Stock Exchange Inc.
20180927,20180928,1,ROL,ROLLINS INC,Industrials,New York Stock Exchange Inc.
20180913,20180914,1,WCG,WELLCARE HEALTHCARE PLANS INC,Health Care,New York Stock Exchange Inc.
20180911,20180912,-1,XL,XL GROUP LTD,Financials,New York Stock Exchange Inc.
20180824,20180827,1,ANET,ARISTA NETWORKS INC,Information Technology,New York Stock Exchange Inc.
20180824,20180827,-1,GGP,GGP INC,Real Estate,New York Stock Exchange Inc.
20180628,20180629,1,CPRT,COPART INC,Industrials,NASDAQ
20180628,20180629,-1,DPS,DR PEPPER SNAPPLE GROUP INC,Consumer Staples,New York Stock Exchange Inc.
20180621,20180622,-1,PRSP,PERSPECTA INC,Information Technology,New York Stock Exchange Inc.
20180619,20180620,1,PRSP,PERSPECTA INC,Information Technology,New York Stock Exchange Inc.
20180618,20180619,1,FLT,FLEETCOR TECHNOLOGIES INC,Information Technology,New York Stock Exchange Inc.
20180615,20180618,-1,TWX,TIME WARNER INC,Consumer Discretionary,New York Stock Exchange Inc.
20180614,20180615,1,BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Information Technology,New York Stock Exchange Inc.
20180614,20180615,1,HFC,HOLLYFRONTIER CORP,Energy,New York Stock Exchange Inc.
20180614,20180615,-1,AYI,ACUITY BRANDS INC,Industrials,New York Stock Exchange Inc.
20180614,20180615,-1,RRC,RANGE RESOURCES CORP,Energy,New York Stock Exchange Inc.
20180606,20180607,-1,MON,MONSANTO,Materials,New York Stock Exchange Inc.
20180605,20180606,1,TWTR,TWITTER INC,Information Technology,New York Stock Exchange Inc.
20180604,20180605,1,EVRG,EVERGY INC,Utilities,New York Stock Exchange Inc.
20180604,20180605,-1,WR,WESTAR ENERGY INC,Utilities,New York Stock Exchange Inc.
20180601,20180604,1,WR,WESTAR ENERGY INC,Utilities,New York Stock Exchange Inc.
20180601,20180604,-1,NAVI,NAVIENT CORP,Financials,NASDAQ
20180529,20180530,1,ABMD,ABIOMED INC,Health Care,NASDAQ
20180529,20180530,-1,WYN,WYNDHAM WORLDWIDE CORP,Consumer Discretionary,New York Stock Exchange Inc.
20180523,20180524,1,JEF,JEFFERIES FINANCIAL GROUP INC,Financials,New York Stock Exchange Inc.
20180523,20180524,-1,LUK,JEFFERIES FINANCIAL GROUP CORP,Financials,New York Stock Exchange Inc.
20180402,20180403,1,MSCI,MSCI INC,Financials,New York Stock Exchange Inc.
20180402,20180403,-1,CSRA,CSRA INC,Information Technology,New York Stock Exchange Inc.
20180319,20180320,1,CBRE,CBRE GROUP INC CLASS A,Real Estate,New York Stock Exchange Inc.
20180319,20180320,-1,CBG,CBRE GROUP INC CLASS A,Real Estate,New York Stock Exchange Inc.
20180315,20180316,1,NKTR,NEKTAR THERAPEUTICS,Health Care,NASDAQ
20180315,20180316,1,SIVB,SVB FINANCIAL GROUP,Financials,NASDAQ
20180315,20180316,1,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Information Technology,NASDAQ
20180315,20180316,-1,CHK,CHESAPEAKE ENERGY CORP,Energy,New York Stock Exchange Inc.
20180315,20180316,-1,PDCO,PATTERSON COMPANIES INC,Health Care,NASDAQ
20180315,20180316,-1,SIG,SIGNET JEWELERS LTD,Consumer Discretionary,New York Stock Exchange Inc.
20180308,20180309,-1,SNI,SCRIPPS NETWORKS INTERACTIVE INC C,Consumer Discretionary,NASDAQ
20180305,20180306,1,IPGP,IPG PHOTONICS CORP,Information Technology,NASDAQ
20180227,20180228,1,WELL,WELLTOWER INC,Real Estate,New York Stock Exchange Inc.
20180227,20180228,-1,HCN,WELLTOWER INC,Real Estate,New York Stock Exchange Inc.
20180226,20180227,1,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,NASDAQ
20180226,20180227,-1,PCLN,BOOKING HOLDINGS INC,Consumer Discretionary,NASDAQ
20171229,20180102,1,HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,New York Stock Exchange Inc.
20171228,20171229,-1,BCR,C R BARD INC,Health Care,New York Stock Exchange Inc.
20171227,20171228,-1,DLPH,DELPHI TECHNOLOGIES PLC,Consumer Discretionary,New York Stock Exchange Inc.
20171226,20171227,1,DLPH,DELPHI TECHNOLOGIES PLC,Consumer Discretionary,New York Stock Exchange Inc.
20171204,20171205,1,APTV,APTIV PLC,Consumer Discretionary,New York Stock Exchange Inc.
20171204,20171205,-1,DLPH,APTIV PLC,Consumer Discretionary,New York Stock Exchange Inc.
20171128,20171129,-1,LENB,LENNAR CORP CLASS B,Consumer Discretionary,New York Stock Exchange Inc.
20171114,20171115,1,IQV,IQVIA HOLDINGS INC,Health Care,New York Stock Exchange Inc.
20171114,20171115,-1,Q,QUINTILES IMS INC,Health Care,New York Stock Exchange Inc.
20171108,20171109,1,LENB,LENNAR CORP CLASS B,Consumer Discretionary,New York Stock Exchange Inc.
20171031,20171101,-1,LVLT,LEVEL COMMUNICATIONS INC,Telecommunications,New York Stock Exchange Inc.
20171030,20171031,1,TPR,TAPESTRY INC,Consumer Discretionary,New York Stock Exchange Inc.
20171030,20171031,-1,COH,TAPESTRY INC,Consumer Discretionary,New York Stock Exchange Inc.
20171011,20171012,1,NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,Consumer Discretionary,NASDAQ
20170914,20170915,1,CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,NASDAQ
20170912,20170913,-1,SPLS,STAPLES INC,Consumer Discretionary,NASDAQ
20170901,20170905,-1,MFGP,MICRO FOCUS INTERNATIONAL ADR PLC,Information Technology,New York Stock Exchange Inc.
20170831,20170901,1,DWDP,DOWDUPONT INC,Materials,New York Stock Exchange Inc.
20170831,20170901,1,MFGP,MICRO FOCUS INTERNATIONAL ADR PLC,Information Technology,New York Stock Exchange Inc.
20170831,20170901,-1,DD,E I DU PONT DE NEMOURS,Materials,New York Stock Exchange Inc.
20170831,20170901,-1,DOW,DOW CHEMICAL,Materials,New York Stock Exchange Inc.
20170830,20170831,1,SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,NASDAQ
20170828,20170829,-1,WFM,WHOLE FOODS MARKET INC,Consumer Staples,NASDAQ
20170825,20170828,1,Q,QUINTILES IMS INC,Health Care,New York Stock Exchange Inc.
20170804,20170807,1,BHF,BRIGHTHOUSE FINANCIAL INC,Financials,NASDAQ
20170804,20170807,-1,AN,AUTONATION INC,Consumer Discretionary,New York Stock Exchange Inc.
20170731,20170801,1,ANDV,ANDEAVOR,Energy,New York Stock Exchange Inc.
20170731,20170801,-1,BTI,BRITISH AMERICAN TOBACCO ADR REPRE,Consumer Staples,New York Stock Exchange Inc.
20170731,20170801,-1,TSO,ANDEAVOR CORP,Energy,New York Stock Exchange Inc.
20170724,20170725,1,AOS,A O SMITH CORP,Industrials,New York Stock Exchange Inc.
20170724,20170725,1,BTI,BRITISH AMERICAN TOBACCO ADR REPRE,Consumer Staples,New York Stock Exchange Inc.
20170724,20170725,1,DRE,DUKE REALTY REIT CORP,Real Estate,New York Stock Exchange Inc.
20170724,20170725,1,MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,New York Stock Exchange Inc.
20170724,20170725,1,PKG,PACKAGING CORP OF AMERICA CORP,Materials,New York Stock Exchange Inc.
20170724,20170725,1,RMD,RESMED INC,Health Care,New York Stock Exchange Inc.
20170724,20170725,-1,BBBY,BED BATH AND BEYOND INC,Consumer Discretionary,NASDAQ
20170724,20170725,-1,MNK,MALLINCKRODT,Health Care,New York Stock Exchange Inc.
20170724,20170725,-1,MUR,MURPHY OIL CORP,Energy,New York Stock Exchange Inc.
20170724,20170725,-1,RAI,REYNOLDS AMERICAN INC,Consumer Staples,New York Stock Exchange Inc.
20170724,20170725,-1,RIG,TRANSOCEAN LTD,Energy,New York Stock Exchange Inc.
20170703,20170705,1,BHGE,BAKER HUGHES A GE COMPANY CLASS A,Energy,New York Stock Exchange Inc.
20170703,20170705,-1,BHI,BAKER HUGHES INC,Energy,New York Stock Exchange Inc.
20170615,20170616,1,ALGN,ALIGN TECHNOLOGY INC,Health Care,NASDAQ
20170615,20170616,1,ANSS,ANSYS INC,Information Technology,NASDAQ
20170615,20170616,1,HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,New York Stock Exchange Inc.
20170615,20170616,1,RE,EVEREST RE GROUP LTD,Financials,New York Stock Exchange Inc.
20170615,20170616,-1,R,RYDER SYSTEM INC,Industrials,New York Stock Exchange Inc.
20170615,20170616,-1,TDC,TERADATA CORP,Information Technology,New York Stock Exchange Inc.
20170615,20170616,-1,YHOO,YAHOO! INC,Information Technology,NASDAQ
20170614,20170615,-1,MJN,MEAD JOHNSON NUTRITION,Consumer Staples,New York Stock Exchange Inc.
20170531,20170601,1,INFO,IHS MARKIT LTD,Industrials,NASDAQ
20170531,20170601,-1,TGNA,TEGNA INC,Consumer Discretionary,New York Stock Exchange Inc.
20170406,20170407,1,BFB,BROWN FORMAN CORP CLASS B,Consumer Staples,New York Stock Exchange Inc.
20170406,20170407,-1,BF.B,BROWN FORMAN CORP CLASS B,Consumer Staples,New York Stock Exchange Inc.
20170403,20170404,1,DXC,DXC TECHNOLOGY,Industrials,New York Stock Exchange Inc.
20170403,20170404,1,IT,GARTNER INC.,Information Technology,New York Stock Exchange Inc.
20170403,20170404,-1,DNB,DUN & BRADSTREET CORP,Industrials,New York Stock Exchange Inc.
20170331,20170403,-1,SWN,SOUTHWESTERN ENERGY,Energy,New York Stock Exchange Inc.
20170228,20170324,1,AMD,ADVANCED MICRO DEVICES INC,Information Technology,NASDAQ
20170228,20170324,1,ARE,ALEXANDRIA REAL ESTATE EQUITIES IN,Real Estate,New York Stock Exchange Inc.
20170228,20170324,1,DISH,DISH NETWORK CORP CLASS A,Consumer Discretionary,NASDAQ
20170228,20170324,1,REG,REGENCY CENTERS REIT CORP,Real Estate,New York Stock Exchange Inc.
20170228,20170324,1,RJF,RAYMOND JAMES FINANCIAL INC.,Financials,New York Stock Exchange Inc.
20170228,20170324,1,SNPS,SYNOPSYS INC,Information Technology,NASDAQ
20170228,20170324,-1,ENDP,ENDO INTERNATIONAL PLC,Health Care,NASDAQ
20170228,20170324,-1,FSLR,FIRST SOLAR INC,Information Technology,NASDAQ
20170228,20170324,-1,FTR,FRONTIER COMMUNICATIONS CORP,Telecommunications,NASDAQ
20170228,20170324,-1,HAR,HARMAN INTERNATIONAL INDUSTRIES IN,Consumer Discretionary,New York Stock Exchange Inc.
20170228,20170324,-1,LLTC,LINEAR TECHNOLOGY CORP,Information Technology,NASDAQ
